#Distances    VirialMass
45.1065089533  9818980000.0
49.4012412911  9811890000.0
46.5835217524  9762270000.0
55.360158533  9748090000.0
45.5335618544  9748090000.0
48.2369065133  9741000000.0
45.9118105749  9729180000.0
52.3659818367  9715000000.0
50.1830196875  21006200000.0
51.9784226469  9670100000.0
56.1680998188  34599200000.0
47.7811457152  108134000000.0
48.1791707655  70944800000.0
50.0850604653  9615750000.0
46.6564464829  9719730000.0
47.5752998555  9568490000.0
50.4373361067  9551940000.0
53.9176544412  9547220000.0
47.7264964689  9544850000.0
47.1447635167  9535400000.0
46.7412763738  13380300000.0
53.6945311127  9523590000.0
48.1854599053  9507040000.0
50.884304755  9507040000.0
47.9182147644  9504680000.0
51.2426547238  9485780000.0
49.0483025524  9471600000.0
44.2246022994  115902000000.0
52.8088783499  9452690000.0
54.2823313075  9445600000.0
47.241253644  25683000000.0
46.3204822151  9424330000.0
54.9910023575  9414880000.0
47.1081355051  9410150000.0
53.9670646334  9398340000.0
51.13816054  9384160000.0
46.4076154775  9372340000.0
47.4835198127  9336900000.0
44.9016157574  9334530000.0
48.7545709508  9320350000.0
49.2871215489  9303810000.0
51.1619873664  10620100000.0
53.0843334227  9294360000.0
52.2253789661  9317990000.0
47.5005510496  9251820000.0
44.4168642676  11841900000.0
58.5185439063  10873000000.0
52.5037222619  9223460000.0
50.3896400976  15679700000.0
54.0970103817  9185650000.0
55.7694425839  9157290000.0
49.9321711674  9152570000.0
55.5542253416  15155000000.0
53.7497213372  9072220000.0
57.2698596782  11135300000.0
53.1861374195  9053310000.0
47.5449410421  12780000000.0
77.9378100358  4.62925e+12
57.254603789  8989510000.0
54.4057472331  8951700000.0
46.1348586401  8946970000.0
55.7619904233  8935160000.0
46.2256362807  8932790000.0
51.2374230841  8930430000.0
53.9049156132  8925700000.0
46.2159910776  8918610000.0
50.113495964  8918610000.0
52.0749206413  8906800000.0
53.0643096715  8894980000.0
50.7219396048  8892620000.0
47.9728318504  8883170000.0
52.5726696549  8866620000.0
48.0956175677  8824090000.0
47.1136463139  8800460000.0
55.8426363688  9232920000.0
51.4082377163  8760280000.0
46.9910086666  8755560000.0
48.2471036876  8746100000.0
58.8972713011  14202700000.0
67.7329655964  4.47074e+12
50.4962655096  8698840000.0
46.7512868482  8663390000.0
46.1153625831  8649210000.0
47.9289732241  23889300000.0
46.6295888186  8606680000.0
54.5792178444  8606680000.0
50.7363076512  33887900000.0
50.9448036025  8585410000.0
48.2875653381  8580680000.0
54.5474006891  8566500000.0
49.8533742514  10662600000.0
48.5439221771  8557050000.0
55.0436080196  8557050000.0
46.6749688433  8564140000.0
45.2602360585  8545230000.0
45.3803728405  8528690000.0
45.8032469612  8514510000.0
50.6486856808  8512150000.0
49.3569464907  60558700000.0
53.1624672884  8448340000.0
55.3547891675  8436530000.0
49.9568394741  8410530000.0
48.0745203885  8365630000.0
54.9903113793  8365630000.0
45.0622499376  8363270000.0
47.7016373349  8360910000.0
46.9707097963  8346730000.0
49.6598437972  8339640000.0
54.6541407616  8316000000.0
46.5932687003  8292370000.0
54.2444244181  8275830000.0
50.185031402  8249840000.0
48.160177754  8226200000.0
54.2603725457  8221480000.0
45.3596683439  8219110000.0
49.3188907606  8216750000.0
59.459184701  30061900000.0
49.4646079017  8164760000.0
67.8729792317  4.17673e+12
50.1978773343  8157670000.0
50.8795287414  8145860000.0
46.5970885015  8143490000.0
52.6425640834  8105680000.0
53.4452149514  8089140000.0
52.0818932984  8079690000.0
45.8057027193  8077320000.0
29.7655216314  4.10655e+12
47.3266176152  7999340000.0
47.2046149451  9707910000.0
46.9155287661  7973340000.0
46.7743274645  42974300000.0
46.319694671  7961530000.0
50.9360533657  7952080000.0
54.3435116367  7940260000.0
47.7836755981  14984900000.0
47.5488558907  9317990000.0
51.7746853527  7893000000.0
65.7169308292  4.03637e+12
50.2855296168  7848100000.0
52.2292295618  7843370000.0
47.1598396152  7831550000.0
55.7400875799  12839100000.0
54.7420832128  7798470000.0
42.9783331268  143752000000.0
44.8393658153  8516870000.0
48.1907249598  7767750000.0
54.4773987726  7746480000.0
51.0684517652  7744120000.0
53.9416174007  7732300000.0
50.3392201138  7718120000.0
48.0236413828  7701580000.0
49.7671584622  7696850000.0
49.9844925434  7692130000.0
45.2262863649  7661410000.0
44.6924949162  8117500000.0
47.1466670054  7647230000.0
46.5682358815  7630680000.0
50.807230744  7623600000.0
52.9738697228  3.89118e+12
45.0264248561  57120200000.0
52.390483745  7566880000.0
49.9141730194  7562150000.0
46.5291767566  7552700000.0
52.1044374054  7552700000.0
53.8291505584  7536160000.0
54.1744421266  7519620000.0
45.207516009  7741750000.0
54.3175744914  7507800000.0
56.3904047225  7505440000.0
47.9298084694  50342700000.0
50.1187046372  7491260000.0
53.5397722976  7488890000.0
55.9275726496  3.82463e+12
55.3056674414  7465260000.0
51.5546711149  7448720000.0
55.9478476773  7425090000.0
43.4600129165  3.79923e+12
57.7655050665  8523960000.0
44.9074663039  7410910000.0
55.2617729767  11551200000.0
47.2245844843  7370740000.0
46.3205864822  7351830000.0
49.205617992  8627940000.0
47.2137057268  7328200000.0
53.0966651235  7314020000.0
