#X(10*Mpc)   Y(10*Mpc)  Z(10*Mpc)  Potencial
18.63005014  31.38881465  28.8013246  1.56767801277e+24
15.0044307  34.91194295  36.55603991  1.53026743371e+25
17.63570015  36.66038807  35.31161782  1.3275181799e+24
19.90755051  33.17354403  37.69568265  1.45929811657e+24
21.05386477  30.31231947  25.04896119  6.97256875466e+24
20.10505542  27.42765913  37.08155035  1.22334506748e+24
20.89681163  27.24058529  33.08366688  1.29997526862e+24
20.8948345  32.19527654  35.0495873  1.467365997e+24
18.54657188  32.4545359  27.88685575  1.66671381008e+24
20.85217544  29.47224296  30.16944432  1.66276571126e+24
21.00621782  29.50579015  36.26644928  1.38046995798e+24
21.53053474  34.01883745  37.70675468  1.5393215491e+24
20.86821081  26.3655967  34.3568489  1.357017866e+24
19.79614107  30.26289553  27.03563928  2.44198716739e+24
20.99063198  33.25979539  37.49733922  1.81664219584e+24
20.27069829  29.86996492  26.89566746  1.83086771327e+24
19.42473335  24.70860867  34.58776397  5.76511662169e+24
21.69122442  31.39086923  34.94075865  1.35121947083e+24
16.39270468  31.73031896  30.61506899  1.33625446536e+24
18.05325014  34.81465477  38.55124746  1.25807776244e+24
22.21980058  33.3428641  30.18783749  1.60516550576e+24
20.16439357  30.87814148  29.27407431  1.44993844298e+24
21.89770878  32.6709051  32.87160887  1.58918903144e+24
20.8746685  33.58211809  37.62343024  1.75290257088e+24
25.38809377  33.7988287  39.04957861  1.32272551191e+24
18.22901413  34.30632387  37.41274428  1.24459829693e+24
22.55840155  17.20177534  43.92881277  4.46065398274e+26
19.21504327  29.67133713  34.61886668  1.22395208663e+24
17.5493199  31.12266546  28.44297617  1.37130504958e+24
18.43277947  34.22318943  27.00816315  1.48648199246e+24
20.25488823  29.70960298  38.50044663  1.22350275161e+24
56.2493932  13.25451943  5.20626709  3.41156682895e+26
21.90962459  29.03293528  30.36608185  1.27113576387e+24
19.52990318  26.9951729  30.82832687  1.19700183005e+24
18.24427207  36.69722927  28.50581585  1.50442972157e+24
16.25524633  32.75537533  29.69184408  1.31934469397e+24
21.10880374  28.99630423  25.46608109  5.45636124481e+24
20.42796063  33.20647414  37.79632403  1.38864786119e+24
20.85310522  26.8221309  33.68290389  1.15504532143e+24
24.76146908  36.58278603  28.6374686  1.22886966746e+24
19.90536399  33.54070247  38.70009598  1.34761549217e+24
21.34858834  33.3268995  37.52611694  1.68017769364e+24
21.18198973  34.55358543  29.04508282  1.35464904183e+24
24.46910493  36.94543487  33.95361395  1.15205399537e+24
21.41301015  31.8547288  34.27477583  1.29027903383e+24
18.17564572  32.93401101  42.78685305  6.05940258135e+25
19.86299946  26.10596065  33.43340534  1.09850353059e+24
17.59828469  36.09311046  26.13496549  5.64428125659e+24
23.63292408  34.17425172  30.00661942  1.24767617253e+24
16.94210784  33.6023848  28.46270824  2.38489081464e+24
19.57349904  30.03760961  33.6906122  1.16707418306e+24
25.97266842  28.76994543  30.7790604  1.07041516105e+24
20.16887877  30.65885444  38.05798365  1.54159550011e+24
19.57640421  29.7258389  26.42128568  1.44682272004e+24
21.67584737  32.41912945  32.99050585  1.3838946843e+24
22.13026983  33.06363482  32.36049051  1.26310321367e+24
21.62566392  33.16532701  29.761074  1.36800433982e+24
17.40400146  33.60566695  30.86681847  1.23895981218e+24
23.99387214  40.08850867  14.60768339  7.88880520149e+26
17.44514647  33.69219034  31.16826144  1.23452136845e+24
16.71363561  33.84221362  28.35457281  1.77500902076e+24
19.58864464  30.43428629  27.29520686  1.525324985e+24
20.08985317  33.24412894  39.41775537  1.14821003973e+24
21.34494499  29.64026962  28.50303968  1.23809276719e+24
23.69477009  35.84125402  36.10859663  1.08590392385e+24
15.95848283  33.18687701  30.00310185  1.20118428418e+24
19.43236076  30.79897789  27.90748932  1.373123121e+24
17.50117378  34.13303604  34.49344657  1.12625611376e+24
23.28318427  34.10238353  36.74930555  1.11903017389e+24
15.74433926  33.96391157  29.44785748  1.78740593655e+24
24.95407918  39.24152733  35.29580706  1.45773845953e+24
19.85519597  29.80458263  25.63269999  3.3915729303e+24
22.13925694  34.86875157  39.51745517  1.04156183574e+24
20.22947366  29.60662959  27.20593916  1.37204917331e+24
24.1778644  35.57845792  33.6795762  1.09136443422e+24
21.79878321  33.37315492  29.53192756  1.34012731774e+24
20.94590833  29.37895593  30.29552303  1.22629524882e+24
17.06529565  35.74347793  35.58428489  1.06257956198e+24
16.64343079  34.80074394  34.73551772  1.05447629915e+24
17.20906576  34.40072233  27.75316312  1.36381287288e+24
26.16608232  27.46156619  31.34799525  1.00054271415e+24
20.28725366  29.73099579  27.00375696  1.406081052e+24
21.65691693  32.44964776  33.22760235  3.16313974621e+24
24.50266185  28.70337934  31.6408026  1.01036774694e+24
18.86325624  31.44942221  27.30022764  1.28921203088e+24
23.01470914  34.5077319  33.5101489  1.09552397246e+24
16.76739361  33.31247092  28.31865503  1.55408868137e+24
20.51978792  30.43606195  38.35282542  1.0952254218e+24
21.81802835  27.49671333  34.61755516  1.00735176937e+24
22.68924135  32.93041726  30.85722848  1.1602569281e+24
18.33804004  29.1567056  34.22368956  1.01153488652e+24
22.09671255  29.11944626  27.42152834  1.11218783888e+24
18.57253499  33.37173643  27.38365442  1.22711043036e+24
17.32167286  34.05716431  32.79046082  1.07980873846e+24
16.36185072  30.17148523  31.0844721  1.05809803301e+24
21.58662129  29.53267797  28.49254918  1.12831725589e+24
23.02248228  34.26969318  29.58989846  1.13915593834e+24
20.47603984  30.05585174  38.32230373  1.14870241813e+24
24.99099376  38.39219705  14.51930271  6.24594423204e+26
24.63240569  37.47352887  35.10059327  9.6576860931e+23
18.10932924  35.31624828  26.03443423  5.64924288963e+24
21.09542224  28.6150916  35.32435141  9.88104524962e+23
21.86693721  33.07447688  31.78026856  1.12730587001e+24
20.22681974  30.31933506  26.76445899  1.9394344093e+24
21.17655087  27.64088462  35.21490127  9.55658015304e+23
22.39425646  33.83634146  30.11598445  1.2404733371e+24
19.96113504  32.49243406  28.99389343  1.41770254707e+24
23.20506622  34.31349548  29.57993001  1.09746778087e+24
22.76290006  34.18606797  36.77377717  1.02462756108e+24
18.2005295  31.52275688  39.27817636  5.58350922479e+24
21.25362805  28.93547607  35.67456685  9.67855169414e+23
20.36940402  31.91570512  32.57258664  1.12213589007e+24
17.00095887  33.90188792  28.12734558  1.40625566467e+24
23.28485774  34.29842624  35.99642321  1.04079796584e+24
21.92301954  34.81547154  28.34459547  1.09634694508e+24
20.09391732  28.67292403  38.68154397  1.53405101216e+24
21.78347224  28.57910637  39.09576272  9.32066744363e+23
16.25630447  30.33964461  31.12782232  9.75251899509e+23
19.68772469  28.14613848  28.75646344  1.00763504904e+24
19.80940285  32.46429186  38.19436045  1.01934153861e+24
20.09734631  33.42977554  39.25251567  1.02165909359e+24
20.86420255  29.83630452  36.25175665  1.03375110606e+24
